Work,Education,MaritalStatus,Occupation,Relationship,Race,Gender,Country,Salary
Private,<Gr12,Not-Married,Service,Other-relative,White,Male,South-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Other-relative,White,Male,North-America,<50K
Private,Masters,Not-Married,Professional,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Unmarried,Black,Male,Carribean,<50K
Private,HS-Graduate,Married,Service,Husband,Black,Male,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Government,HS-Graduate,Married,Military,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,White,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Military,Own-child,Black,Female,North-America,<50K
Self-emp,Bachelors,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,Associate,Not-Married,Service,Not-in-family,White,Male,Middle-East,<50K
Private,Bachelors,Not-Married,Professional,Own-child,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Service,Husband,White,Male,North-America,<50K
Private,Bachelors,Married,Office Labour,Husband,White,Male,North-America,>=50K
Government,<Gr12,Married,Manual Labour,Husband,White,Male,North-America,<50K
Government,HS-Graduate,Married,Admin,Husband,White,Male,North-America,>=50K
Private,<Gr12,Widowed,Service,Unmarried,Other,Male,North-America,<50K
Private,Associate,Married,Office Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Admin,Wife,White,Female,North-America,<50K
Self-emp,<Gr12,Married,Manual Labour,Husband,White,Male,Europe,<50K
Private,<Gr12,Married,Service,Wife,White,Female,North-America,<50K
Private,Masters,Married,Professional,Husband,White,Male,North-America,>=50K
Private,Bachelors,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,Bachelors,Separated,Office Labour,Not-in-family,White,Male,North-America,>=50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Self-emp,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,Associate,Not-Married,Office Labour,Not-in-family,White,Female,North-America,<50K
Private,Bachelors,Separated,Office Labour,Not-in-family,White,Female,North-America,>=50K
Private,HS-Graduate,Separated,Office Labour,Unmarried,White,Female,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,North-America,<50K
Private,<Gr12,Not-Married,Service,Own-child,White,Male,North-America,<50K
Government,Associate,Married,Manual Labour,Husband,White,Male,North-America,>=50K
Private,HS-Graduate,Married,Manual Labour,Husband,Black,Male,North-America,<50K
Private,HS-Graduate,Not-Married,Manual Labour,Not-in-family,Black,Male,North-America,<50K
Government,HS-Graduate,Not-Married,Admin,Own-child,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Office Labour,Not-in-family,White,Male,North-America,<50K
Self-emp,Masters,Separated,Office Labour,Not-in-family,White,Male,North-America,<50K
Private,HS-Graduate,Married,Office Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Manual Labour,Not-in-family,White,Male,North-America,<50K
Private,<Gr12,Separated,Manual Labour,Not-in-family,White,Female,North-America,<50K
Private,HS-Graduate,Married,Manual Labour,Husband,White,Male,North-America,<50K
Private,HS-Graduate,Separated,Office Labour,Not-in-family,White,Female,North-America,<50K
Government,HS-Graduate,Married,Manual Labour,Wife,White,Female,North-America,<50K
Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Female,North-America,<50K
