job_title,industry,company_size,salary,experience_years,education_level,skills_count,connections,data_source,date_updated
Engineering Director,Financial Services,501-1000,124430,11,No Degree,6,2625,linkedin,2025-08-18 00:52:04.493164
Engineering Director,Financial Services,1-10,108802,15,Bachelor,36,2203,linkedin,2025-09-08 00:52:04.493169
VP of Engineering,Real Estate,1001-5000,159451,9,Certificate,35,3272,linkedin,2025-08-24 00:52:04.493173
Platform Engineer,Financial Services,1-10,131023,23,Master,15,2127,linkedin,2025-09-02 00:52:04.493177
CTO,Non-profit,201-500,73777,16,Bachelor,15,3067,linkedin,2025-08-09 00:52:04.493181
Senior Software Developer,Manufacturing,201-500,95029,17,PhD,23,2377,linkedin,2025-07-31 00:52:04.493185
VP of Engineering,Non-profit,51-200,82252,12,No Degree,43,1574,linkedin,2025-08-16 00:52:04.493189
Technical Lead,Real Estate,1-10,88819,22,No Degree,19,1617,linkedin,2025-07-14 00:52:04.493193
Senior Software Developer,Financial Services,5000+,157415,8,Certificate,45,1140,linkedin,2025-08-14 00:52:04.493197
Platform Engineer,Energy,1001-5000,98957,9,Certificate,50,4979,linkedin,2025-08-28 00:52:04.493201
CTO,Non-profit,1001-5000,41661,23,PhD,41,856,linkedin,2025-08-14 00:52:04.493205
Data Engineer,Media & Communications,501-1000,118389,10,Bachelor,5,4805,linkedin,2025-06-25 00:52:04.493209
VP of Engineering,Media & Communications,51-200,93035,25,No Degree,21,3419,linkedin,2025-08-18 00:52:04.493213
Lead Software Developer,Non-profit,1001-5000,111005,24,PhD,40,4221,linkedin,2025-07-16 00:52:04.493218
Software Developer,Government,1001-5000,107668,16,Master,35,3354,linkedin,2025-06-24 00:52:04.493226
Platform Engineer,Real Estate,5000+,177363,16,Certificate,21,4787,linkedin,2025-07-19 00:52:04.493230
CTO,Consulting,501-1000,112950,2,PhD,20,2346,linkedin,2025-08-30 00:52:04.493233
Senior Software Developer,Retail,501-1000,146437,4,No Degree,34,1104,linkedin,2025-07-25 00:52:04.493237
Data Engineer,Healthcare,501-1000,108818,15,PhD,33,3665,linkedin,2025-07-21 00:52:04.493241
VP of Engineering,Manufacturing,1001-5000,147508,13,Bachelor,49,768,linkedin,2025-07-04 00:52:04.493245
ML Engineer,Financial Services,11-50,76046,12,Master,29,2173,linkedin,2025-09-01 00:52:04.493249
ML Engineer,Retail,1001-5000,130759,21,No Degree,18,1027,linkedin,2025-07-22 00:52:04.493253
ML Engineer,Manufacturing,201-500,52650,1,No Degree,27,3544,linkedin,2025-07-22 00:52:04.493257
ML Engineer,Retail,1-10,70924,1,PhD,46,3672,linkedin,2025-08-21 00:52:04.493261
ML Engineer,Energy,1001-5000,137095,22,Certificate,36,480,linkedin,2025-06-25 00:52:04.493277
Technical Lead,Media & Communications,5000+,115677,15,Certificate,35,1009,linkedin,2025-08-14 00:52:04.493282
Engineering Director,Technology,5000+,127494,15,Certificate,8,1204,linkedin,2025-08-02 00:52:04.493287
Software Developer,Energy,1001-5000,149623,3,PhD,28,2410,linkedin,2025-08-16 00:52:04.493291
Technical Lead,Non-profit,1-10,51823,21,No Degree,49,4509,linkedin,2025-08-07 00:52:04.493295
Engineering Director,Education,11-50,60028,12,Certificate,45,1873,linkedin,2025-07-17 00:52:04.493300
Technical Lead,Media & Communications,1001-5000,124793,18,PhD,27,2857,linkedin,2025-08-05 00:52:04.493304
Platform Engineer,Energy,1001-5000,204907,16,Certificate,48,3458,linkedin,2025-08-22 00:52:04.493308
Engineering Director,Consulting,1001-5000,190937,9,Master,5,2835,linkedin,2025-09-14 00:52:04.493312
Engineering Director,Non-profit,11-50,77245,25,Bachelor,48,3780,linkedin,2025-08-28 00:52:04.493316
Site Reliability Engineer,Education,201-500,92702,5,No Degree,45,1270,linkedin,2025-07-19 00:52:04.493320
ML Engineer,Manufacturing,51-200,98954,22,No Degree,40,4179,linkedin,2025-09-10 00:52:04.493324
Data Engineer,Energy,501-1000,45711,9,Master,46,3592,linkedin,2025-07-28 00:52:04.493328
Software Architect,Technology,201-500,112790,14,No Degree,39,354,linkedin,2025-06-28 00:52:04.493332
CTO,Healthcare,201-500,101139,22,PhD,21,4531,linkedin,2025-08-26 00:52:04.493337
ML Engineer,Real Estate,5000+,70659,10,Master,49,3052,linkedin,2025-09-12 00:52:04.493341
CTO,Technology,501-1000,105317,13,Bachelor,32,3007,linkedin,2025-08-20 00:52:04.493345
CTO,Education,5000+,53709,25,Certificate,48,4404,linkedin,2025-08-16 00:52:04.493348
Technical Lead,Healthcare,201-500,113848,4,Certificate,23,4722,linkedin,2025-09-09 00:52:04.493352
Senior Software Developer,Non-profit,201-500,88123,7,Certificate,42,2833,linkedin,2025-09-15 00:52:04.493356
CTO,Real Estate,5000+,169800,6,PhD,43,1541,linkedin,2025-08-04 00:52:04.493360
Senior Software Developer,Technology,201-500,149937,20,Bachelor,27,3598,linkedin,2025-07-01 00:52:04.493365
Data Engineer,Education,1-10,46156,16,No Degree,37,1262,linkedin,2025-08-22 00:52:04.493369
CTO,Technology,1001-5000,83001,2,Bachelor,38,618,linkedin,2025-08-23 00:52:04.493372
Site Reliability Engineer,Consulting,51-200,63929,24,No Degree,6,1258,linkedin,2025-08-22 00:52:04.493384
Technical Lead,Education,11-50,46700,6,Certificate,41,1538,linkedin,2025-08-13 00:52:04.493390
Technical Lead,Non-profit,1-10,41378,18,Bachelor,10,3207,linkedin,2025-06-23 00:52:04.493394
Platform Engineer,Non-profit,51-200,63844,20,No Degree,12,1066,linkedin,2025-06-27 00:52:04.493398
Lead Software Developer,Energy,501-1000,85096,10,Certificate,21,422,linkedin,2025-08-17 00:52:04.493402
Senior Software Developer,Financial Services,501-1000,173125,5,No Degree,34,873,linkedin,2025-08-15 00:52:04.493407
Engineering Director,Manufacturing,501-1000,107380,12,Bachelor,10,1288,linkedin,2025-09-14 00:52:04.493411
Software Architect,Consulting,501-1000,137160,24,Bachelor,28,3252,linkedin,2025-07-24 00:52:04.493415
VP of Engineering,Real Estate,1001-5000,158705,19,PhD,14,1876,linkedin,2025-07-06 00:52:04.493419
Software Architect,Media & Communications,501-1000,80363,22,Master,35,3026,linkedin,2025-06-23 00:52:04.493423
Technical Lead,Energy,11-50,94449,17,No Degree,24,3253,linkedin,2025-08-17 00:52:04.493427
Site Reliability Engineer,Education,201-500,83307,8,PhD,45,4604,linkedin,2025-06-29 00:52:04.493430
Software Developer,Retail,1001-5000,113203,8,Bachelor,16,3774,linkedin,2025-07-19 00:52:04.493434
Platform Engineer,Healthcare,5000+,178678,3,Certificate,41,1774,linkedin,2025-09-08 00:52:04.493438
Lead Software Developer,Manufacturing,51-200,115876,2,PhD,27,1720,linkedin,2025-08-28 00:52:04.493442
CTO,Manufacturing,501-1000,87025,20,Master,22,2600,linkedin,2025-06-23 00:52:04.493446
Data Engineer,Energy,11-50,81606,23,Certificate,14,3332,linkedin,2025-07-08 00:52:04.493450
CTO,Energy,5000+,142350,23,Certificate,42,2070,linkedin,2025-07-14 00:52:04.493455
Data Engineer,Real Estate,501-1000,106219,9,No Degree,10,1504,linkedin,2025-07-12 00:52:04.493459
CTO,Manufacturing,11-50,98004,17,Certificate,35,2206,linkedin,2025-07-16 00:52:04.493463
VP of Engineering,Government,501-1000,97611,3,Bachelor,23,247,linkedin,2025-07-23 00:52:04.493466
Site Reliability Engineer,Manufacturing,5000+,193932,6,No Degree,29,3220,linkedin,2025-08-08 00:52:04.493470
Site Reliability Engineer,Healthcare,51-200,64521,4,PhD,36,1905,linkedin,2025-09-08 00:52:04.493474
Data Engineer,Real Estate,1-10,73673,5,Bachelor,23,265,linkedin,2025-08-15 00:52:04.493478
Site Reliability Engineer,Financial Services,1-10,82233,15,Bachelor,41,665,linkedin,2025-08-31 00:52:04.493482
Technical Lead,Non-profit,11-50,68888,23,Master,34,560,linkedin,2025-08-25 00:52:04.493486
Engineering Director,Manufacturing,201-500,62251,17,Bachelor,23,3341,linkedin,2025-08-20 00:52:04.493490
Engineering Director,Retail,1-10,82579,3,No Degree,18,3131,linkedin,2025-08-22 00:52:04.493494
Platform Engineer,Financial Services,1-10,89640,1,Bachelor,25,4287,linkedin,2025-08-10 00:52:04.493498
VP of Engineering,Retail,201-500,85320,8,Bachelor,19,4008,linkedin,2025-09-10 00:52:04.493502
Software Developer,Energy,1001-5000,78839,23,Bachelor,47,3877,linkedin,2025-08-13 00:52:04.493505
Software Architect,Non-profit,1-10,47014,15,PhD,31,327,linkedin,2025-07-16 00:52:04.493509
Software Developer,Consulting,11-50,130417,4,Certificate,18,3812,linkedin,2025-08-21 00:52:04.493513
ML Engineer,Consulting,201-500,124610,21,Bachelor,10,146,linkedin,2025-09-05 00:52:04.493518
Technical Lead,Real Estate,501-1000,131888,6,Certificate,15,728,linkedin,2025-07-09 00:52:04.493521
Lead Software Developer,Non-profit,5000+,131844,6,PhD,5,100,linkedin,2025-07-26 00:52:04.493526
Software Architect,Financial Services,501-1000,170123,13,PhD,22,4962,linkedin,2025-07-25 00:52:04.493529
Software Developer,Manufacturing,11-50,73555,21,PhD,10,2318,linkedin,2025-08-17 00:52:04.493533
Data Engineer,Retail,1001-5000,137926,2,PhD,35,783,linkedin,2025-09-09 00:52:04.493537
Site Reliability Engineer,Government,5000+,91921,1,Bachelor,24,2876,linkedin,2025-09-11 00:52:04.493541
Engineering Director,Financial Services,1001-5000,151096,8,Bachelor,50,1021,linkedin,2025-07-06 00:52:04.493545
ML Engineer,Retail,5000+,82463,21,Certificate,8,1337,linkedin,2025-07-18 00:52:04.493549
ML Engineer,Manufacturing,5000+,163798,7,PhD,36,4070,linkedin,2025-07-02 00:52:04.493554
VP of Engineering,Manufacturing,1-10,68665,11,PhD,37,2822,linkedin,2025-07-31 00:52:04.493557
Engineering Director,Healthcare,201-500,120183,12,Bachelor,22,1485,linkedin,2025-08-26 00:52:04.493561
VP of Engineering,Media & Communications,5000+,98554,9,Bachelor,29,4938,linkedin,2025-08-15 00:52:04.493565
Site Reliability Engineer,Real Estate,1001-5000,136959,17,Certificate,12,4130,linkedin,2025-08-05 00:52:04.493569
Senior Software Developer,Media & Communications,1001-5000,99975,17,Master,36,4187,linkedin,2025-09-04 00:52:04.493573
Technical Lead,Financial Services,501-1000,153945,18,Bachelor,29,554,linkedin,2025-08-01 00:52:04.493577
Software Developer,Government,1-10,74142,19,Certificate,47,2805,linkedin,2025-08-03 00:52:04.493581
Software Developer,Education,501-1000,109229,6,Certificate,36,4592,linkedin,2025-07-31 00:52:04.493585
Software Developer,Retail,51-200,94476,9,PhD,10,2549,linkedin,2025-08-13 00:52:04.493589
Lead Software Developer,Energy,501-1000,63608,9,Master,30,4144,linkedin,2025-06-29 00:52:04.493593
Data Engineer,Technology,501-1000,259083,2,PhD,7,630,linkedin,2025-08-06 00:52:04.493597
Software Architect,Financial Services,201-500,210154,22,No Degree,47,3500,linkedin,2025-08-26 00:52:04.493601
Data Engineer,Manufacturing,51-200,112163,20,Certificate,7,2502,linkedin,2025-08-30 00:52:04.493605
Senior Software Developer,Media & Communications,201-500,84822,24,No Degree,47,4236,linkedin,2025-09-03 00:52:04.493609
Lead Software Developer,Media & Communications,5000+,129223,1,Certificate,29,4515,linkedin,2025-09-07 00:52:04.493613
Platform Engineer,Education,1-10,52540,2,Certificate,39,737,linkedin,2025-08-15 00:52:04.493616
VP of Engineering,Consulting,51-200,150019,19,Certificate,14,1948,linkedin,2025-07-03 00:52:04.493620
Platform Engineer,Energy,5000+,141728,15,Certificate,31,958,linkedin,2025-06-22 00:52:04.493624
Engineering Director,Technology,51-200,99288,4,Certificate,10,2741,linkedin,2025-09-13 00:52:04.493628
CTO,Technology,201-500,119861,1,Bachelor,49,3845,linkedin,2025-08-04 00:52:04.493632
Site Reliability Engineer,Financial Services,1001-5000,221363,18,Bachelor,5,3776,linkedin,2025-07-19 00:52:04.493636
Technical Lead,Government,11-50,95761,17,PhD,28,3070,linkedin,2025-07-21 00:52:04.493640
Senior Software Developer,Manufacturing,501-1000,157557,21,Certificate,35,4050,linkedin,2025-09-12 00:52:04.493644
VP of Engineering,Manufacturing,201-500,124277,5,Bachelor,43,1405,linkedin,2025-08-26 00:52:04.493648
Software Architect,Government,51-200,71200,19,Bachelor,21,1781,linkedin,2025-09-16 00:52:04.493651
ML Engineer,Real Estate,5000+,35000,5,Bachelor,28,1397,linkedin,2025-07-22 00:52:04.493655
Site Reliability Engineer,Healthcare,51-200,112263,20,Certificate,39,1919,linkedin,2025-08-23 00:52:04.493659
CTO,Manufacturing,51-200,94956,23,Bachelor,38,4820,linkedin,2025-09-04 00:52:04.493663
Platform Engineer,Healthcare,5000+,151419,2,PhD,42,4884,linkedin,2025-08-14 00:52:04.493667
Site Reliability Engineer,Media & Communications,201-500,105908,21,Certificate,42,4469,linkedin,2025-07-10 00:52:04.493671
Senior Software Developer,Technology,11-50,74296,22,Master,26,3417,linkedin,2025-09-01 00:52:04.493675
Data Engineer,Technology,11-50,126638,14,Bachelor,5,4682,linkedin,2025-07-10 00:52:04.493679
Lead Software Developer,Technology,51-200,143019,16,Bachelor,9,3404,linkedin,2025-06-26 00:52:04.493683
Site Reliability Engineer,Healthcare,1-10,97860,24,Certificate,50,2073,linkedin,2025-07-21 00:52:04.493687
Software Architect,Technology,51-200,152725,11,No Degree,27,965,linkedin,2025-08-08 00:52:04.493691
VP of Engineering,Financial Services,201-500,168393,13,Bachelor,32,3486,linkedin,2025-08-29 00:52:04.493695
VP of Engineering,Non-profit,5000+,83556,12,No Degree,30,1679,linkedin,2025-07-30 00:52:04.493699
Lead Software Developer,Technology,5000+,169838,12,Master,29,4306,linkedin,2025-07-17 00:52:04.493703
Lead Software Developer,Consulting,5000+,163235,2,No Degree,14,1556,linkedin,2025-08-07 00:52:04.493706
Engineering Director,Media & Communications,1-10,78046,18,Bachelor,29,2297,linkedin,2025-09-15 00:52:04.493711
CTO,Non-profit,501-1000,99714,15,Master,46,4678,linkedin,2025-07-16 00:52:04.493715
Data Engineer,Financial Services,11-50,138961,21,PhD,12,558,linkedin,2025-09-11 00:52:04.493719
Software Developer,Real Estate,201-500,158770,13,PhD,39,2499,linkedin,2025-07-14 00:52:04.493722
Software Architect,Media & Communications,5000+,206365,23,No Degree,19,323,linkedin,2025-09-17 00:52:04.493727
VP of Engineering,Media & Communications,1-10,77513,8,PhD,46,3492,linkedin,2025-09-17 00:52:04.493731
Data Engineer,Energy,501-1000,35000,23,Certificate,7,3244,linkedin,2025-08-13 00:52:04.493735
Platform Engineer,Non-profit,11-50,78356,16,PhD,44,143,linkedin,2025-08-12 00:52:04.493739
CTO,Media & Communications,501-1000,98599,2,PhD,40,2087,linkedin,2025-09-10 00:52:04.493743
CTO,Media & Communications,1-10,60771,5,Certificate,46,4439,linkedin,2025-07-06 00:52:04.493746
Lead Software Developer,Technology,5000+,155677,15,Certificate,21,3117,linkedin,2025-09-03 00:52:04.493750
Software Developer,Consulting,1001-5000,131651,25,Bachelor,25,509,linkedin,2025-09-02 00:52:04.493754
Data Engineer,Non-profit,51-200,76678,16,PhD,24,4050,linkedin,2025-08-22 00:52:04.493758
Data Engineer,Government,5000+,64919,1,No Degree,23,1574,linkedin,2025-07-17 00:52:04.493762
Software Developer,Media & Communications,201-500,76344,6,No Degree,15,4207,linkedin,2025-08-07 00:52:04.493766
CTO,Technology,11-50,120685,12,PhD,19,1605,linkedin,2025-09-16 00:52:04.493770
Site Reliability Engineer,Retail,11-50,98815,18,PhD,9,2718,linkedin,2025-08-01 00:52:04.493774
Senior Software Developer,Technology,11-50,128976,11,Master,21,3934,linkedin,2025-09-07 00:52:04.493778
CTO,Financial Services,501-1000,128197,17,Certificate,48,2930,linkedin,2025-09-16 00:52:04.493782
Engineering Director,Energy,1-10,57412,7,No Degree,49,1086,linkedin,2025-07-12 00:52:04.493786
Technical Lead,Real Estate,1-10,66373,17,Bachelor,27,858,linkedin,2025-08-11 00:52:04.493790
Lead Software Developer,Financial Services,1-10,112780,23,Bachelor,36,2215,linkedin,2025-06-29 00:52:04.493794
Technical Lead,Technology,1001-5000,220173,12,Bachelor,26,3604,linkedin,2025-07-05 00:52:04.493798
Software Architect,Non-profit,11-50,35000,25,Master,35,3435,linkedin,2025-06-20 00:52:04.493802
Lead Software Developer,Non-profit,5000+,87962,25,Certificate,40,4783,linkedin,2025-07-05 00:52:04.493805
CTO,Media & Communications,11-50,57013,17,Certificate,44,1763,linkedin,2025-09-12 00:52:04.493809
Lead Software Developer,Non-profit,1001-5000,50740,12,Master,18,496,linkedin,2025-07-31 00:52:04.493813
Engineering Director,Technology,201-500,168690,7,Certificate,7,3695,linkedin,2025-09-07 00:52:04.493817
Technical Lead,Healthcare,5000+,166219,4,Master,35,1780,linkedin,2025-07-01 00:52:04.493821
ML Engineer,Media & Communications,1-10,84539,5,PhD,39,669,linkedin,2025-07-07 00:52:04.493825
VP of Engineering,Consulting,201-500,154274,19,PhD,17,3628,linkedin,2025-08-10 00:52:04.493829
VP of Engineering,Consulting,51-200,100328,22,Master,10,2608,linkedin,2025-08-08 00:52:04.493833
ML Engineer,Energy,5000+,118614,9,PhD,31,4621,linkedin,2025-09-02 00:52:04.493837
Software Developer,Retail,5000+,205675,18,No Degree,25,991,linkedin,2025-08-11 00:52:04.493841
Site Reliability Engineer,Manufacturing,11-50,80229,21,Bachelor,39,3767,linkedin,2025-06-30 00:52:04.493844
ML Engineer,Government,201-500,98964,14,Master,20,479,linkedin,2025-09-01 00:52:04.493848
Software Developer,Consulting,51-200,114181,5,Master,20,1918,linkedin,2025-06-21 00:52:04.493852
Data Engineer,Government,1001-5000,53148,25,Master,11,4769,linkedin,2025-07-30 00:52:04.493856
Lead Software Developer,Technology,51-200,60372,1,No Degree,50,1357,linkedin,2025-07-16 00:52:04.493860
Technical Lead,Technology,1-10,84499,1,PhD,20,4575,linkedin,2025-07-24 00:52:04.493864
VP of Engineering,Manufacturing,501-1000,144098,10,Certificate,7,4193,linkedin,2025-06-26 00:52:04.493868
VP of Engineering,Healthcare,1-10,100075,24,Master,34,2676,linkedin,2025-07-18 00:52:04.493871
Data Engineer,Energy,501-1000,140051,14,Certificate,17,3485,linkedin,2025-07-15 00:52:04.493875
Engineering Director,Technology,11-50,83722,16,Master,38,574,linkedin,2025-07-08 00:52:04.493879
Lead Software Developer,Government,11-50,96031,7,Bachelor,41,3871,linkedin,2025-09-14 00:52:04.493883
ML Engineer,Financial Services,5000+,141284,19,No Degree,15,2513,linkedin,2025-07-20 00:52:04.493887
Software Developer,Education,1001-5000,104056,22,Certificate,28,913,linkedin,2025-07-12 00:52:04.493891
VP of Engineering,Energy,11-50,85278,4,Bachelor,41,4253,linkedin,2025-06-25 00:52:04.493895
Platform Engineer,Real Estate,5000+,127218,14,Master,30,3871,linkedin,2025-07-12 00:52:04.493899
Lead Software Developer,Real Estate,501-1000,152149,21,Bachelor,32,4560,linkedin,2025-07-06 00:52:04.493903
Software Developer,Manufacturing,1-10,62602,13,Certificate,37,4389,linkedin,2025-09-09 00:52:04.493907
CTO,Healthcare,501-1000,83089,2,PhD,15,3126,linkedin,2025-08-27 00:52:04.493911
Platform Engineer,Government,51-200,76379,13,PhD,37,290,linkedin,2025-07-25 00:52:04.493915
Senior Software Developer,Government,1001-5000,88924,15,No Degree,13,1384,linkedin,2025-06-29 00:52:04.493918
Senior Software Developer,Media & Communications,1001-5000,227776,20,No Degree,34,3727,linkedin,2025-09-16 00:52:04.493922
Senior Software Developer,Consulting,1-10,106624,18,Bachelor,38,1837,linkedin,2025-08-15 00:52:04.493926
Site Reliability Engineer,Government,1-10,54578,20,No Degree,27,2217,linkedin,2025-08-16 00:52:04.493930
CTO,Government,501-1000,67120,19,Bachelor,22,4474,linkedin,2025-08-17 00:52:04.493934
Technical Lead,Consulting,201-500,66452,11,No Degree,29,3850,linkedin,2025-06-28 00:52:04.493938
VP of Engineering,Healthcare,1-10,62172,6,Bachelor,18,675,linkedin,2025-06-24 00:52:04.493942
Site Reliability Engineer,Government,1-10,62547,14,Certificate,31,2538,linkedin,2025-09-10 00:52:04.493946
Platform Engineer,Retail,501-1000,154678,19,Certificate,45,2587,linkedin,2025-08-20 00:52:04.493950
Software Developer,Real Estate,501-1000,145968,16,No Degree,5,1833,linkedin,2025-07-23 00:52:04.493953
Lead Software Developer,Government,1001-5000,104458,25,PhD,50,2075,linkedin,2025-07-23 00:52:04.493957
Lead Software Developer,Financial Services,201-500,134480,24,No Degree,38,4167,linkedin,2025-09-15 00:52:04.493961
Senior Software Developer,Media & Communications,51-200,101384,11,Certificate,39,906,linkedin,2025-08-18 00:52:04.493965
Site Reliability Engineer,Real Estate,201-500,90950,7,Bachelor,23,1468,linkedin,2025-09-02 00:52:04.493969
Platform Engineer,Education,51-200,108648,13,Master,22,4036,linkedin,2025-07-03 00:52:04.493973
Technical Lead,Non-profit,1001-5000,82361,9,Master,17,1011,linkedin,2025-07-16 00:52:04.493977
Lead Software Developer,Government,201-500,81795,8,Bachelor,27,4012,linkedin,2025-07-27 00:52:04.493981
