company,job_title,location,salary,experience_years,company_rating,data_source,date_posted
Airbnb,Full Stack Engineer,"Austin, TX",85372,17,3.3,glassdoor,2024-11-29 00:52:04.457825
Salesforce,Full Stack Engineer,"Austin, TX",79311,15,4.6,glassdoor,2025-06-12 00:52:04.457829
Amazon,Principal Software Engineer,"Berlin, Germany",187274,13,3.7,glassdoor,2025-02-19 00:52:04.457832
Atlassian,Senior Software Engineer,"Berlin, Germany",101226,20,5.0,glassdoor,2025-07-29 00:52:04.457836
Microsoft,Security Engineer,"Toronto, Canada",150797,10,4.6,glassdoor,2025-07-24 00:52:04.457839
Uber,Product Manager,"Austin, TX",126602,17,3.9,glassdoor,2025-02-13 00:52:04.457843
Netflix,Data Scientist,"Denver, CO",164931,7,4.7,glassdoor,2025-08-10 00:52:04.457846
Atlassian,Principal Software Engineer,"San Francisco, CA",209175,20,5.0,glassdoor,2025-09-10 00:52:04.457850
Apple,Senior Product Manager,"New York, NY",181204,13,4.0,glassdoor,2025-05-31 00:52:04.457853
OpenAI,Senior Software Engineer,"New York, NY",160148,12,3.0,glassdoor,2025-03-02 00:52:04.457857
Airbnb,Backend Engineer,"Boston, MA",170083,13,4.4,glassdoor,2024-12-07 00:52:04.457860
Intel,Full Stack Engineer,"New York, NY",161591,6,3.6,glassdoor,2025-08-19 00:52:04.457864
Salesforce,Senior Software Engineer,"Toronto, Canada",81571,10,3.1,glassdoor,2024-11-22 00:52:04.457868
Shopify,Mobile Engineer,Remote - US,126500,5,3.1,glassdoor,2024-12-31 00:52:04.457871
Apple,Senior Engineering Manager,"Seattle, WA",181421,19,3.1,glassdoor,2025-05-20 00:52:04.457875
OpenAI,Principal Software Engineer,"London, UK",154074,7,4.2,glassdoor,2025-08-28 00:52:04.457878
Oracle,Staff Software Engineer,"Chicago, IL",181818,18,4.1,glassdoor,2025-04-09 00:52:04.457882
Airbnb,Product Manager,"Berlin, Germany",118545,10,3.5,glassdoor,2025-02-27 00:52:04.457887
Meta,Senior Data Scientist,"Denver, CO",185767,10,4.9,glassdoor,2025-08-11 00:52:04.457891
Google,Backend Engineer,"London, UK",113239,18,5.0,glassdoor,2025-08-11 00:52:04.457894
Adobe,Product Manager,Remote - US,111453,8,3.3,glassdoor,2025-03-23 00:52:04.457898
Apple,Senior Product Manager,"Los Angeles, CA",161217,9,3.3,glassdoor,2024-12-13 00:52:04.457901
NVIDIA,Senior Data Scientist,"London, UK",116164,20,4.1,glassdoor,2024-10-11 00:52:04.457905
Adobe,Senior Data Scientist,"Berlin, Germany",68354,3,4.9,glassdoor,2025-07-11 00:52:04.457908
Airbnb,Principal Software Engineer,"Seattle, WA",322194,17,3.3,glassdoor,2025-04-26 00:52:04.457912
Oracle,Product Manager,"Toronto, Canada",84103,10,3.4,glassdoor,2024-10-28 00:52:04.457915
Airbnb,Mobile Engineer,"Denver, CO",106810,8,4.8,glassdoor,2025-08-22 00:52:04.457919
Apple,Frontend Engineer,"Boston, MA",175770,1,3.0,glassdoor,2025-07-13 00:52:04.457922
IBM,Data Scientist,"New York, NY",208230,14,4.1,glassdoor,2025-02-11 00:52:04.457926
Adobe,Software Engineer,"Seattle, WA",115314,2,4.9,glassdoor,2024-09-29 00:52:04.457929
Meta,Senior Software Engineer,"Los Angeles, CA",219369,18,4.1,glassdoor,2025-02-09 00:52:04.457933
Meta,Senior Software Engineer,"Boston, MA",195914,11,4.8,glassdoor,2025-08-28 00:52:04.457937
Databricks,Product Manager,"Berlin, Germany",65845,7,4.3,glassdoor,2025-03-20 00:52:04.457941
Cisco,Frontend Engineer,"London, UK",104225,4,4.9,glassdoor,2025-05-19 00:52:04.457944
Netflix,Senior Engineering Manager,"Chicago, IL",211832,0,3.4,glassdoor,2025-03-31 00:52:04.457948
VMware,Frontend Engineer,"Berlin, Germany",75058,7,3.5,glassdoor,2024-09-23 00:52:04.457952
Amazon,Security Engineer,"San Francisco, CA",276502,15,3.4,glassdoor,2025-01-25 00:52:04.457955
Databricks,Senior Data Scientist,"Austin, TX",51413,7,3.0,glassdoor,2025-06-11 00:52:04.457959
OpenAI,ML Engineer,"Boston, MA",125753,2,4.9,glassdoor,2025-04-28 00:52:04.457962
Databricks,Mobile Engineer,"Chicago, IL",109880,17,3.7,glassdoor,2025-09-03 00:52:04.457966
Amazon,Data Scientist,"New York, NY",200205,18,4.9,glassdoor,2025-05-05 00:52:04.457970
Microsoft,Principal Software Engineer,"London, UK",244984,13,3.7,glassdoor,2025-04-10 00:52:04.457973
GitHub,Mobile Engineer,"Seattle, WA",84589,12,4.8,glassdoor,2025-06-12 00:52:04.457977
Airbnb,Senior Software Engineer,"Toronto, Canada",156603,13,3.0,glassdoor,2024-12-16 00:52:04.457980
Intel,Product Manager,"Los Angeles, CA",115713,13,3.1,glassdoor,2024-10-12 00:52:04.457984
Snowflake,ML Engineer,"Berlin, Germany",97945,3,4.4,glassdoor,2025-04-17 00:52:04.457988
Spotify,Senior Data Scientist,"Berlin, Germany",67763,13,3.7,glassdoor,2024-09-26 00:52:04.457991
Stripe,Engineering Manager,"Austin, TX",200689,13,4.3,glassdoor,2025-03-07 00:52:04.457995
Intel,Senior Engineering Manager,"London, UK",87445,18,3.6,glassdoor,2024-12-11 00:52:04.457998
Google,Senior Data Scientist,"Boston, MA",178881,6,3.9,glassdoor,2024-11-25 00:52:04.458001
Oracle,ML Engineer,"Denver, CO",115101,14,3.9,glassdoor,2025-05-31 00:52:04.458005
Spotify,Full Stack Engineer,"Toronto, Canada",96557,5,4.3,glassdoor,2025-04-25 00:52:04.458009
Spotify,ML Engineer,"Seattle, WA",154812,7,4.3,glassdoor,2025-05-25 00:52:04.458012
VMware,Product Manager,"New York, NY",154135,0,3.1,glassdoor,2025-01-17 00:52:04.458015
Oracle,Staff Software Engineer,"Denver, CO",193384,13,4.8,glassdoor,2024-11-27 00:52:04.458023
Tesla,Security Engineer,"Denver, CO",116044,12,3.5,glassdoor,2024-10-17 00:52:04.458026
NVIDIA,Software Engineer,"Seattle, WA",109332,13,3.4,glassdoor,2024-09-26 00:52:04.458030
Spotify,Backend Engineer,"San Francisco, CA",149295,17,3.5,glassdoor,2025-07-17 00:52:04.458034
Atlassian,Engineering Manager,"Denver, CO",120947,16,5.0,glassdoor,2024-11-17 00:52:04.458037
Snowflake,Backend Engineer,"London, UK",102956,16,3.9,glassdoor,2024-12-11 00:52:04.458041
Atlassian,Senior Engineering Manager,"Toronto, Canada",113638,15,3.9,glassdoor,2025-05-14 00:52:04.458044
IBM,Data Scientist,Remote - US,128831,15,4.3,glassdoor,2025-04-30 00:52:04.458048
Atlassian,Staff Software Engineer,"Toronto, Canada",154399,9,3.5,glassdoor,2025-03-30 00:52:04.458051
Snowflake,Staff Software Engineer,"New York, NY",162598,4,3.5,glassdoor,2024-09-27 00:52:04.458055
Meta,Product Manager,"Seattle, WA",186453,13,3.8,glassdoor,2024-12-14 00:52:04.458058
Atlassian,Frontend Engineer,"San Francisco, CA",150896,6,4.7,glassdoor,2025-03-02 00:52:04.458062
Cisco,Software Engineer,"London, UK",68003,12,4.0,glassdoor,2025-03-21 00:52:04.458065
Stripe,Security Engineer,"Chicago, IL",146322,17,4.5,glassdoor,2024-12-12 00:52:04.458069
VMware,Senior Product Manager,"Denver, CO",116727,7,3.5,glassdoor,2025-01-12 00:52:04.458073
Google,Security Engineer,"Los Angeles, CA",208238,12,4.4,glassdoor,2025-01-21 00:52:04.458076
Meta,Software Engineer,"Chicago, IL",135056,18,4.1,glassdoor,2025-09-04 00:52:04.458081
Apple,Frontend Engineer,"New York, NY",222583,14,3.4,glassdoor,2025-05-07 00:52:04.458085
OpenAI,ML Engineer,"Austin, TX",106391,14,3.7,glassdoor,2025-03-07 00:52:04.458088
Airbnb,Frontend Engineer,"Boston, MA",86520,2,3.9,glassdoor,2024-12-15 00:52:04.458092
Microsoft,DevOps Engineer,"Austin, TX",145026,20,3.1,glassdoor,2024-10-19 00:52:04.458096
Microsoft,Software Engineer,"Austin, TX",122963,6,4.7,glassdoor,2024-11-03 00:52:04.458099
Meta,Senior Product Manager,"New York, NY",327248,15,4.3,glassdoor,2024-12-03 00:52:04.458103
Tesla,Backend Engineer,"Toronto, Canada",129806,8,4.5,glassdoor,2025-06-24 00:52:04.458106
Oracle,Principal Software Engineer,"New York, NY",293917,9,3.2,glassdoor,2025-09-04 00:52:04.458110
Stripe,Security Engineer,"Chicago, IL",150150,6,3.2,glassdoor,2024-09-29 00:52:04.458114
IBM,Senior Product Manager,"Seattle, WA",107583,9,4.7,glassdoor,2024-11-14 00:52:04.458117
VMware,Principal Software Engineer,"London, UK",218930,1,3.7,glassdoor,2025-02-10 00:52:04.458121
Intel,DevOps Engineer,"Seattle, WA",161514,16,4.3,glassdoor,2025-09-11 00:52:04.458124
GitHub,Full Stack Engineer,"Seattle, WA",162612,13,4.9,glassdoor,2024-10-27 00:52:04.458128
Atlassian,Engineering Manager,"Chicago, IL",139898,5,4.5,glassdoor,2024-10-19 00:52:04.458131
Airbnb,Full Stack Engineer,"Denver, CO",179790,13,4.7,glassdoor,2024-11-18 00:52:04.458135
Airbnb,ML Engineer,"Austin, TX",101036,2,3.6,glassdoor,2025-01-30 00:52:04.458139
Uber,Backend Engineer,"London, UK",130330,19,4.3,glassdoor,2025-03-29 00:52:04.458142
Google,Full Stack Engineer,"Los Angeles, CA",217439,5,4.0,glassdoor,2025-03-20 00:52:04.458146
VMware,Data Scientist,"Los Angeles, CA",93821,8,4.8,glassdoor,2024-09-23 00:52:04.458149
Airbnb,Software Engineer,Remote - US,114123,6,3.2,glassdoor,2025-02-21 00:52:04.458153
Shopify,Senior Product Manager,"Toronto, Canada",110152,15,4.3,glassdoor,2025-01-09 00:52:04.458156
Atlassian,Software Engineer,"Seattle, WA",105218,9,3.4,glassdoor,2024-09-28 00:52:04.458160
Uber,Senior Data Scientist,"Berlin, Germany",62584,18,3.7,glassdoor,2024-12-08 00:52:04.458164
Spotify,DevOps Engineer,"Chicago, IL",109480,17,3.7,glassdoor,2024-09-23 00:52:04.458167
Atlassian,Data Scientist,"Boston, MA",92142,8,3.5,glassdoor,2025-06-11 00:52:04.458171
Snowflake,Principal Software Engineer,"Toronto, Canada",216754,17,4.9,glassdoor,2024-09-29 00:52:04.458174
Netflix,Product Manager,"Austin, TX",132210,15,3.6,glassdoor,2024-11-20 00:52:04.458178
Cisco,Mobile Engineer,"London, UK",127330,9,5.0,glassdoor,2025-06-10 00:52:04.458181
Stripe,Senior Product Manager,"Los Angeles, CA",127514,5,3.6,glassdoor,2024-09-20 00:52:04.458185
Adobe,Engineering Manager,"Boston, MA",159985,1,4.9,glassdoor,2024-12-08 00:52:04.458188
Stripe,Engineering Manager,"Berlin, Germany",194845,15,3.2,glassdoor,2025-09-11 00:52:04.458192
Salesforce,Senior Data Scientist,"Denver, CO",81413,15,3.9,glassdoor,2025-06-15 00:52:04.458195
Microsoft,Data Scientist,"Denver, CO",165135,3,4.6,glassdoor,2025-02-24 00:52:04.458199
Shopify,Staff Software Engineer,"London, UK",183916,20,4.4,glassdoor,2025-07-02 00:52:04.458202
Meta,Senior Data Scientist,"Seattle, WA",138129,7,3.2,glassdoor,2025-02-16 00:52:04.458206
Oracle,Senior Product Manager,Remote - US,123186,12,3.9,glassdoor,2025-02-03 00:52:04.458209
Stripe,Frontend Engineer,"Boston, MA",159058,18,4.2,glassdoor,2024-11-09 00:52:04.458213
AMD,Principal Software Engineer,"Austin, TX",228960,20,3.4,glassdoor,2024-10-14 00:52:04.458217
Apple,Senior Engineering Manager,"Austin, TX",113794,5,4.1,glassdoor,2025-06-29 00:52:04.458220
Google,Frontend Engineer,"Denver, CO",111269,19,3.9,glassdoor,2025-09-01 00:52:04.458224
Uber,Senior Data Scientist,"Toronto, Canada",143128,9,4.4,glassdoor,2025-01-28 00:52:04.458227
Apple,Senior Product Manager,"Boston, MA",160180,20,4.2,glassdoor,2025-06-08 00:52:04.458231
GitHub,Principal Software Engineer,Remote - US,228711,7,4.3,glassdoor,2025-05-04 00:52:04.458234
Meta,Staff Software Engineer,"San Francisco, CA",376764,5,4.6,glassdoor,2024-11-17 00:52:04.458238
AMD,Senior Data Scientist,"Denver, CO",93311,3,3.9,glassdoor,2025-04-15 00:52:04.458241
NVIDIA,Security Engineer,"Boston, MA",113016,16,4.1,glassdoor,2025-02-05 00:52:04.458245
Apple,Senior Software Engineer,"Chicago, IL",186739,10,4.2,glassdoor,2025-09-04 00:52:04.458248
Apple,Senior Product Manager,"Berlin, Germany",90718,18,4.2,glassdoor,2025-09-07 00:52:04.458252
Cisco,Data Scientist,"London, UK",144593,1,4.5,glassdoor,2025-06-20 00:52:04.458255
Shopify,Mobile Engineer,"Berlin, Germany",82764,14,4.8,glassdoor,2025-06-17 00:52:04.458259
Salesforce,Frontend Engineer,"Berlin, Germany",57587,15,4.9,glassdoor,2025-01-20 00:52:04.458262
Databricks,Frontend Engineer,"Los Angeles, CA",122181,10,4.3,glassdoor,2025-06-27 00:52:04.458265
Snowflake,Frontend Engineer,"Toronto, Canada",86946,15,3.6,glassdoor,2025-02-24 00:52:04.458270
Cisco,Senior Software Engineer,"Denver, CO",145834,2,3.6,glassdoor,2025-04-05 00:52:04.458275
Amazon,Security Engineer,Remote - US,190226,0,4.3,glassdoor,2024-12-14 00:52:04.458279
Atlassian,Frontend Engineer,"San Francisco, CA",135409,6,4.0,glassdoor,2024-11-03 00:52:04.458282
Cisco,Full Stack Engineer,"Berlin, Germany",90166,14,4.5,glassdoor,2025-06-05 00:52:04.458286
Airbnb,Engineering Manager,"Boston, MA",240652,14,4.8,glassdoor,2025-01-12 00:52:04.458289
Amazon,Software Engineer,"Berlin, Germany",95365,19,4.6,glassdoor,2024-09-19 00:52:04.458293
Netflix,Senior Data Scientist,Remote - US,245801,0,4.1,glassdoor,2025-08-01 00:52:04.458296
Uber,Principal Software Engineer,"Denver, CO",225939,3,4.3,glassdoor,2025-07-01 00:52:04.458300
Shopify,Senior Data Scientist,Remote - US,100891,8,3.8,glassdoor,2025-01-13 00:52:04.458303
Shopify,Senior Product Manager,"Denver, CO",88786,17,3.3,glassdoor,2025-06-12 00:52:04.458307
Oracle,Mobile Engineer,"Toronto, Canada",90378,4,4.7,glassdoor,2025-04-29 00:52:04.458310
Cisco,Frontend Engineer,"Los Angeles, CA",106334,16,3.5,glassdoor,2025-09-16 00:52:04.458314
Stripe,Senior Data Scientist,"London, UK",145364,18,5.0,glassdoor,2025-01-10 00:52:04.458317
Meta,Backend Engineer,Remote - US,181792,15,3.7,glassdoor,2024-12-09 00:52:04.458321
Cisco,Security Engineer,"Denver, CO",125867,10,4.7,glassdoor,2024-09-25 00:52:04.458324
Uber,Security Engineer,"Austin, TX",129937,13,3.1,glassdoor,2025-01-18 00:52:04.458328
NVIDIA,Security Engineer,"Chicago, IL",139396,20,5.0,glassdoor,2025-01-07 00:52:04.458332
Microsoft,Engineering Manager,Remote - US,240493,18,3.7,glassdoor,2025-07-28 00:52:04.458335
Atlassian,Principal Software Engineer,Remote - US,336290,14,3.0,glassdoor,2025-07-06 00:52:04.458339
GitHub,Engineering Manager,"Seattle, WA",250117,15,4.6,glassdoor,2025-05-05 00:52:04.458342
Snowflake,Security Engineer,"Berlin, Germany",62639,2,4.7,glassdoor,2024-10-07 00:52:04.458346
Adobe,Security Engineer,"Los Angeles, CA",84868,20,4.4,glassdoor,2025-01-11 00:52:04.458349
Adobe,Senior Software Engineer,"London, UK",124342,2,3.5,glassdoor,2024-10-02 00:52:04.458353
Stripe,Senior Product Manager,"Toronto, Canada",144442,2,3.9,glassdoor,2025-07-29 00:52:04.458356
Cisco,Principal Software Engineer,"Denver, CO",226274,5,4.4,glassdoor,2025-09-03 00:52:04.458360
Microsoft,ML Engineer,"San Francisco, CA",239399,9,3.7,glassdoor,2025-02-09 00:52:04.458364
Meta,Senior Product Manager,Remote - US,169750,13,4.1,glassdoor,2025-06-17 00:52:04.458367
Netflix,Senior Engineering Manager,"Seattle, WA",174933,19,4.7,glassdoor,2024-11-04 00:52:04.458371
Intel,Senior Product Manager,"Denver, CO",75279,18,3.3,glassdoor,2025-01-24 00:52:04.458374
IBM,Data Scientist,"Denver, CO",106551,8,4.3,glassdoor,2025-01-22 00:52:04.458377
Stripe,Senior Engineering Manager,"Seattle, WA",230226,14,4.9,glassdoor,2024-11-21 00:52:04.458381
Stripe,Frontend Engineer,"Toronto, Canada",157674,8,3.9,glassdoor,2025-04-16 00:52:04.458385
Tesla,Security Engineer,"Denver, CO",101365,3,3.5,glassdoor,2024-11-29 00:52:04.458388
Databricks,Senior Data Scientist,"Toronto, Canada",111740,9,3.0,glassdoor,2024-10-15 00:52:04.458392
OpenAI,Data Scientist,"San Francisco, CA",189024,18,4.7,glassdoor,2025-08-23 00:52:04.458395
Oracle,Full Stack Engineer,"Boston, MA",88908,7,4.2,glassdoor,2025-03-21 00:52:04.458399
Uber,Product Manager,"London, UK",120226,8,4.4,glassdoor,2024-10-15 00:52:04.458403
Intel,Engineering Manager,"Berlin, Germany",121093,3,4.8,glassdoor,2024-10-22 00:52:04.458406
Microsoft,Senior Data Scientist,"Denver, CO",112470,1,4.2,glassdoor,2025-07-12 00:52:04.458410
Apple,Senior Data Scientist,"Los Angeles, CA",162019,13,3.4,glassdoor,2025-07-12 00:52:04.458413
VMware,DevOps Engineer,Remote - US,132124,16,4.8,glassdoor,2025-06-25 00:52:04.458417
Airbnb,Full Stack Engineer,"Boston, MA",170812,10,4.6,glassdoor,2025-01-21 00:52:04.458421
Apple,Engineering Manager,"Austin, TX",289856,12,4.9,glassdoor,2024-12-06 00:52:04.458425
Databricks,Staff Software Engineer,"Chicago, IL",117363,0,3.5,glassdoor,2025-07-16 00:52:04.458429
Atlassian,DevOps Engineer,"Berlin, Germany",61420,8,4.2,glassdoor,2024-10-26 00:52:04.458432
Databricks,Principal Software Engineer,"Berlin, Germany",152876,7,3.9,glassdoor,2024-11-04 00:52:04.458436
Adobe,ML Engineer,"London, UK",107187,7,4.3,glassdoor,2024-10-27 00:52:04.458439
Atlassian,Senior Data Scientist,"Berlin, Germany",83387,13,3.2,glassdoor,2025-08-25 00:52:04.458443
Microsoft,Senior Data Scientist,"Denver, CO",258145,3,3.2,glassdoor,2024-12-16 00:52:04.458446
Meta,Security Engineer,"Denver, CO",174480,11,4.3,glassdoor,2024-09-26 00:52:04.458450
Adobe,Frontend Engineer,"London, UK",119275,4,4.8,glassdoor,2024-10-17 00:52:04.458453
Amazon,Full Stack Engineer,"London, UK",150469,13,4.9,glassdoor,2025-04-27 00:52:04.458457
Microsoft,DevOps Engineer,"Austin, TX",164794,14,3.9,glassdoor,2025-05-20 00:52:04.458462
Databricks,Principal Software Engineer,"Berlin, Germany",129860,11,4.1,glassdoor,2024-10-22 00:52:04.458466
Databricks,Senior Software Engineer,"Chicago, IL",145126,8,3.4,glassdoor,2025-07-17 00:52:04.458469
Atlassian,Staff Software Engineer,"Berlin, Germany",95872,6,4.3,glassdoor,2024-11-16 00:52:04.458473
Google,Senior Software Engineer,"Los Angeles, CA",168045,7,5.0,glassdoor,2024-12-02 00:52:04.458476
Tesla,Staff Software Engineer,Remote - US,201127,6,4.2,glassdoor,2025-05-21 00:52:04.458480
Snowflake,Engineering Manager,"London, UK",156420,0,3.6,glassdoor,2025-07-05 00:52:04.458483
Meta,Data Scientist,"New York, NY",347460,3,4.3,glassdoor,2025-09-04 00:52:04.458487
Meta,Software Engineer,"Los Angeles, CA",81764,7,4.2,glassdoor,2025-09-09 00:52:04.458490
Netflix,Data Scientist,"San Francisco, CA",299381,4,4.5,glassdoor,2024-12-22 00:52:04.458494
Amazon,Staff Software Engineer,"Denver, CO",142672,14,4.6,glassdoor,2024-12-29 00:52:04.458497
Salesforce,Principal Software Engineer,"Denver, CO",179311,16,3.4,glassdoor,2024-11-07 00:52:04.458501
Microsoft,Mobile Engineer,"Boston, MA",177553,14,4.3,glassdoor,2025-09-02 00:52:04.458504
Microsoft,Full Stack Engineer,"Chicago, IL",147674,13,4.4,glassdoor,2025-01-09 00:52:04.458508
NVIDIA,Backend Engineer,"Seattle, WA",110136,2,3.6,glassdoor,2025-07-04 00:52:04.458511
Apple,Engineering Manager,"Boston, MA",205151,19,4.3,glassdoor,2024-12-11 00:52:04.458515
NVIDIA,ML Engineer,"Chicago, IL",122679,19,4.1,glassdoor,2025-01-28 00:52:04.458518
Spotify,Frontend Engineer,"Seattle, WA",119891,3,4.7,glassdoor,2024-10-19 00:52:04.458522
Cisco,Product Manager,"Chicago, IL",112675,14,4.8,glassdoor,2025-02-18 00:52:04.458525
Snowflake,Backend Engineer,"Chicago, IL",108984,13,4.5,glassdoor,2025-04-10 00:52:04.458529
GitHub,ML Engineer,"Berlin, Germany",65747,8,3.7,glassdoor,2025-07-01 00:52:04.458533
Intel,Full Stack Engineer,"Seattle, WA",200601,2,4.7,glassdoor,2025-08-01 00:52:04.458536
GitHub,Principal Software Engineer,"Toronto, Canada",223103,11,4.6,glassdoor,2024-12-07 00:52:04.458540
Microsoft,ML Engineer,"Berlin, Germany",60722,3,3.8,glassdoor,2024-10-12 00:52:04.458543
Cisco,Frontend Engineer,"Toronto, Canada",112027,1,4.9,glassdoor,2024-11-14 00:52:04.458547
Stripe,DevOps Engineer,"Seattle, WA",170543,18,4.0,glassdoor,2025-06-30 00:52:04.458550
Intel,Full Stack Engineer,"Austin, TX",126412,3,3.7,glassdoor,2024-12-07 00:52:04.458554
Databricks,Principal Software Engineer,"Boston, MA",166616,18,3.5,glassdoor,2025-02-10 00:52:04.458557
Adobe,Software Engineer,"London, UK",79141,8,3.1,glassdoor,2025-05-01 00:52:04.458561
NVIDIA,Senior Data Scientist,"Los Angeles, CA",118907,11,3.0,glassdoor,2025-07-06 00:52:04.458565
Salesforce,Security Engineer,"Seattle, WA",164710,4,4.5,glassdoor,2025-09-02 00:52:04.458568
Apple,Mobile Engineer,"Austin, TX",114903,12,3.8,glassdoor,2025-03-27 00:52:04.458572
Netflix,DevOps Engineer,"Boston, MA",151162,10,4.6,glassdoor,2024-12-01 00:52:04.458575
Oracle,Staff Software Engineer,"San Francisco, CA",219917,4,3.3,glassdoor,2024-11-05 00:52:04.458579
Microsoft,Staff Software Engineer,"Boston, MA",190123,14,4.3,glassdoor,2025-01-12 00:52:04.458582
Oracle,Backend Engineer,"Chicago, IL",146133,8,3.4,glassdoor,2024-12-29 00:52:04.458586
Amazon,DevOps Engineer,"Chicago, IL",151771,3,3.6,glassdoor,2024-10-05 00:52:04.458589
Salesforce,Full Stack Engineer,Remote - US,88841,9,3.1,glassdoor,2025-02-27 00:52:04.458593
Oracle,Senior Software Engineer,"San Francisco, CA",223695,6,3.6,glassdoor,2025-06-01 00:52:04.458596
Cisco,Engineering Manager,"Boston, MA",243577,9,3.7,glassdoor,2025-09-14 00:52:04.458600
Shopify,Frontend Engineer,"New York, NY",182421,4,3.8,glassdoor,2024-09-22 00:52:04.458603
Uber,Mobile Engineer,Remote - US,99239,11,3.1,glassdoor,2025-08-27 00:52:04.458607
GitHub,Software Engineer,"Denver, CO",81283,2,4.7,glassdoor,2024-11-27 00:52:04.458610
GitHub,Security Engineer,"Toronto, Canada",135365,20,3.8,glassdoor,2025-07-21 00:52:04.458614
OpenAI,Software Engineer,"Los Angeles, CA",77261,5,4.6,glassdoor,2024-11-05 00:52:04.458617
Atlassian,DevOps Engineer,"Seattle, WA",152862,13,4.7,glassdoor,2025-05-16 00:52:04.458621
GitHub,Security Engineer,Remote - US,137205,2,3.8,glassdoor,2025-04-12 00:52:04.458624
AMD,ML Engineer,"Austin, TX",87978,10,4.6,glassdoor,2025-08-09 00:52:04.458628
