"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2023,"SE","FT","Data Scientist",184700,"USD",184700,"US",0,"US","M"
2024,"EN","FT","Data Science",60800,"USD",60800,"US",0,"US","M"
2023,"SE","FT","Research Scientist",253750,"USD",253750,"ES",0,"ES","M"
2023,"SE","FT","Data Manager",145000,"USD",145000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","Data Engineer",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",170000,"USD",170000,"US",0,"US","M"
2024,"SE","FT","Data Scientist",126600,"USD",126600,"US",0,"US","M"
2023,"SE","FT","Data Engineer",190000,"USD",190000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",150200,"USD",150200,"US",0,"US","M"
2023,"SE","FT","Data Analyst",135000,"USD",135000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",225000,"USD",225000,"US",0,"US","M"
2023,"SE","FT","Data Science Manager",150000,"USD",150000,"MX",100,"MX","M"
2024,"SE","FT","Data Architect",174000,"USD",174000,"US",0,"US","M"
2024,"SE","FT","Research Scientist",112000,"USD",112000,"US",0,"US","M"
2024,"MI","FT","Machine Learning Researcher",210000,"USD",210000,"US",0,"US","M"
2023,"MI","FT","BI Developer",100000,"USD",100000,"US",0,"US","M"
2023,"MI","FT","Decision Scientist",142200,"USD",142200,"US",0,"US","M"
2023,"SE","FT","Data Scientist",90700,"USD",90700,"US",0,"US","M"
2023,"SE","FT","Data Engineer",156000,"USD",156000,"US",100,"US","M"
2022,"SE","FT","Machine Learning Engineer",164996,"USD",164996,"US",0,"US","M"
2024,"SE","FT","Data Scientist",154360,"USD",154360,"US",0,"US","M"
2023,"EX","FT","Analytics Engineer",221000,"USD",221000,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Engineer",104300,"USD",104300,"US",0,"US","L"
2023,"EX","FT","Data Architect",180000,"USD",180000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",0,"US","M"
2023,"SE","FT","Data Science Manager",299500,"USD",299500,"US",0,"US","M"
2024,"MI","FT","Data Operations Specialist",88000,"USD",88000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",155000,"USD",155000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",140000,"USD",140000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",203500,"USD",203500,"US",100,"US","M"
2023,"MI","FT","Analytics Engineer",75000,"USD",75000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",95325,"USD",95325,"US",0,"US","M"
2023,"MI","FT","Data Strategist",65000,"USD",65000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",40000,"EUR",43187,"PL",100,"PL","L"
2023,"EN","FT","Data Integration Specialist",100000,"USD",100000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",45000,"EUR",48585,"ES",0,"ES","M"
2024,"EN","FT","Machine Learning Engineer",187500,"USD",187500,"US",0,"US","M"
2024,"SE","FT","Data Manager",125500,"USD",125500,"US",0,"US","M"
2024,"SE","FT","Data Architect",363000,"USD",363000,"US",0,"US","M"
2024,"EN","FT","Data Analyst",51500,"USD",51500,"US",0,"US","M"
2022,"SE","FT","Applied Scientist",205000,"USD",205000,"US",100,"US","M"
2023,"SE","FT","Analytics Engineer",190000,"USD",190000,"US",0,"US","M"
2024,"SE","FT","Analytics Engineer",287500,"USD",287500,"US",0,"US","M"
2023,"SE","FT","Data Analyst",175000,"USD",175000,"US",100,"US","M"
2022,"EN","PT","Data Analyst",24000,"EUR",25216,"ES",100,"US","L"
2022,"SE","FT","Data Engineer",146000,"USD",146000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",109000,"USD",109000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",228045,"USD",228045,"US",100,"US","M"
2023,"SE","FT","Machine Learning Engineer",128250,"USD",128250,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M"
2024,"MI","FT","Data Product Manager",171000,"USD",171000,"US",100,"US","M"
2023,"MI","FT","Data Engineer",167500,"USD",167500,"US",0,"US","M"
2023,"SE","FT","Data Manager",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",150000,"USD",150000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",140400,"USD",140400,"US",100,"US","M"
2023,"SE","FT","Data Scientist",138900,"USD",138900,"US",0,"US","M"
2024,"MI","FT","Research Engineer",295000,"USD",295000,"US",0,"US","M"
2023,"EX","FT","Data Engineer",265000,"USD",265000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",151300,"USD",151300,"US",100,"US","M"
2023,"SE","FT","Data Analyst",87500,"USD",87500,"US",0,"US","M"
2024,"EN","FT","Data Analyst",40000,"GBP",50000,"GB",100,"GB","M"
2023,"MI","FT","Data Engineer",120000,"USD",120000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",227000,"USD",227000,"US",0,"US","M"
2024,"SE","FT","Data Architect",86000,"USD",86000,"US",0,"US","M"
2024,"MI","FT","Data Engineer",140000,"USD",140000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",141000,"USD",141000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",185900,"USD",185900,"US",0,"US","M"
2023,"MI","FT","Data Engineer",58400,"USD",58400,"US",0,"US","M"
2023,"SE","FT","Data Engineer",150000,"USD",150000,"US",100,"US","M"
2024,"MI","FT","Analytics Engineer",115000,"USD",115000,"US",0,"US","M"
2023,"EX","FT","Head of Data",200000,"GBP",246080,"GB",0,"GB","M"
2021,"SE","FT","Data Engineer",200000,"USD",200000,"US",100,"US","L"
2023,"EN","FT","Data Analyst",71615,"USD",71615,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",309400,"USD",309400,"US",0,"US","L"
2023,"SE","FT","Business Intelligence Engineer",115000,"USD",115000,"US",100,"US","M"
2024,"MI","FT","Data Science",130000,"USD",130000,"US",0,"US","M"
2024,"SE","FT","Machine Learning Engineer",283780,"USD",283780,"US",0,"US","M"
2023,"SE","FT","Data Scientist",112500,"USD",112500,"US",100,"US","M"
2022,"EX","FT","Data Engineer",116100,"USD",116100,"US",100,"US","M"
2024,"SE","FT","Data Scientist",115500,"USD",115500,"US",100,"US","M"
2022,"SE","FT","Data Scientist",249500,"USD",249500,"US",0,"US","M"
2023,"MI","FT","Data Scientist",45000,"GBP",55368,"GB",0,"GB","M"
2024,"MI","FT","Data Engineer",90800,"USD",90800,"US",0,"US","M"
2024,"EN","FT","Data Analyst",138000,"USD",138000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",200000,"USD",200000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",170000,"USD",170000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",204500,"USD",204500,"US",0,"US","M"
2023,"SE","FT","Data Scientist",212000,"USD",212000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Researcher",73100,"USD",73100,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2023,"SE","FT","Machine Learning Engineer",168700,"USD",168700,"CA",0,"CA","M"
2023,"EN","FT","Data Analyst",30000,"USD",30000,"AR",100,"US","S"
2023,"MI","FT","Data Analyst",70000,"USD",70000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",150000,"USD",150000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",197430,"USD",197430,"US",100,"US","M"
2022,"SE","FT","Data Engineer",210000,"USD",210000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",170000,"USD",170000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",173000,"USD",173000,"US",100,"US","M"
2022,"EN","FT","Data Engineer",120000,"USD",120000,"US",100,"US","M"
2023,"SE","FT","Data Manager",130000,"USD",130000,"US",0,"US","M"
2024,"MI","FT","Applied Scientist",222200,"USD",222200,"US",0,"US","L"
2023,"SE","FT","Data Scientist",300240,"USD",300240,"US",0,"US","M"
2024,"EN","FT","Data Analyst",74400,"USD",74400,"US",100,"US","M"
2022,"SE","FT","Data Engineer",120000,"USD",120000,"US",0,"US","M"
2022,"MI","FT","Machine Learning Engineer",129300,"USD",129300,"US",0,"US","M"
2024,"EN","FT","Machine Learning Engineer",105300,"USD",105300,"CA",100,"CA","M"
2022,"SE","FT","Data Engineer",122600,"USD",122600,"US",0,"US","M"
2023,"EX","FT","Data Scientist",145000,"USD",145000,"US",0,"US","M"
2021,"SE","FT","Lead Data Analyst",170000,"USD",170000,"US",100,"US","L"
2024,"MI","FT","Data Operations Associate",50000,"EUR",55555,"DE",0,"DE","M"
2023,"SE","FT","Data Scientist",247600,"USD",247600,"US",0,"US","L"
2024,"SE","FT","Data Engineer",78900,"USD",78900,"US",0,"US","M"
2023,"MI","FT","Data Engineer",133000,"USD",133000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",176000,"USD",176000,"US",100,"US","M"
2023,"EN","FT","Data Engineer",130916,"USD",130916,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",147000,"USD",147000,"US",0,"US","M"
2023,"MI","FT","Data Engineer",90000,"USD",90000,"US",100,"US","M"
2024,"MI","FT","Machine Learning Engineer",99100,"USD",99100,"US",0,"US","M"
2023,"SE","FT","Analytics Engineer",85500,"USD",85500,"US",0,"US","M"
2024,"MI","FT","Machine Learning Engineer",130000,"USD",130000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Analyst",193600,"USD",193600,"US",0,"US","M"
2023,"EN","FT","Data Scientist",53000,"EUR",57223,"NL",50,"NL","L"
2023,"MI","FT","Data Engineer",95000,"GBP",116888,"GB",100,"GB","L"
2023,"SE","FT","Analytics Engineer",205000,"USD",205000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",106800,"USD",106800,"US",100,"US","M"
2023,"MI","FT","Data Engineer",90000,"USD",90000,"US",0,"US","M"
2024,"MI","FT","Data Scientist",231250,"USD",231250,"US",0,"US","M"
2023,"SE","FT","Data Engineer",200000,"USD",200000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",233000,"USD",233000,"US",0,"US","M"
2022,"EN","FT","Machine Learning Engineer",108000,"USD",108000,"US",0,"US","S"
2022,"SE","FT","Machine Learning Software Engineer",168000,"USD",168000,"CA",100,"CA","M"
2023,"MI","FT","Data Engineer",181500,"USD",181500,"US",0,"US","M"
2024,"MI","FT","Data Analytics Manager",124230,"USD",124230,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",222200,"USD",222200,"US",0,"US","L"
2022,"SE","FT","Data Engineer",225000,"USD",225000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",250000,"USD",250000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",135000,"USD",135000,"US",100,"US","M"
2024,"SE","FT","Machine Learning Engineer",230000,"USD",230000,"US",100,"US","M"
2022,"SE","FT","Data Engineer",35000,"EUR",36773,"ES",0,"ES","M"
2024,"MI","FT","Data Engineer",73100,"USD",73100,"US",0,"US","M"
2023,"SE","FT","Data Engineer",130000,"USD",130000,"US",100,"US","M"
2022,"SE","FT","Data Engineer",63000,"USD",63000,"US",0,"US","M"
2024,"SE","FT","Data Analyst",112715,"USD",112715,"US",0,"US","M"
2024,"SE","FT","Data Scientist",215000,"USD",215000,"US",0,"US","M"
2023,"SE","FT","Applied Scientist",136000,"USD",136000,"US",0,"US","L"
2023,"SE","FT","Data Engineer",151000,"USD",151000,"CA",100,"CA","M"
2024,"SE","FT","Data Engineer",187000,"USD",187000,"US",0,"US","M"
2023,"MI","FT","Research Scientist",220000,"USD",220000,"US",0,"US","M"
2024,"MI","FT","Data Specialist",73000,"USD",73000,"US",0,"US","M"
2024,"EN","FT","Data Analyst",96800,"USD",96800,"US",0,"US","M"
2023,"MI","FT","Data Scientist",93918,"USD",93918,"US",100,"US","M"
2024,"EN","FT","Data Analyst",106875,"USD",106875,"US",0,"US","M"
2023,"SE","FT","Machine Learning Infrastructure Engineer",152000,"USD",152000,"US",100,"US","M"
2023,"SE","FT","Data Operations Analyst",144000,"USD",144000,"GB",0,"GB","M"
2022,"SE","FT","Data Scientist",177500,"USD",177500,"US",100,"US","M"
2024,"SE","FT","Data Engineer",161500,"USD",161500,"US",0,"US","M"
2024,"MI","FT","Data Scientist",212000,"USD",212000,"EG",0,"EG","M"
2023,"SE","FT","Data Scientist",160000,"USD",160000,"US",0,"US","M"
2024,"SE","FT","Data Architect",160000,"USD",160000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",142200,"USD",142200,"US",0,"US","M"
2024,"SE","FT","Data Analyst",193000,"USD",193000,"US",100,"US","M"
2023,"SE","FT","Business Intelligence Engineer",202800,"USD",202800,"US",0,"US","L"
2023,"SE","FT","Machine Learning Engineer",250500,"USD",250500,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",163200,"USD",163200,"US",0,"US","M"
2023,"SE","FT","Data Scientist",212800,"USD",212800,"US",0,"US","L"
2023,"MI","FT","Data Analytics Manager",242100,"USD",242100,"US",0,"US","M"
2024,"MI","FT","Data Scientist",110000,"USD",110000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",90000,"USD",90000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",170186,"USD",170186,"US",0,"US","M"
2024,"MI","FT","Data Engineer",102000,"USD",102000,"US",0,"US","M"
2023,"SE","FT","Data Analyst",153300,"USD",153300,"US",100,"US","M"
2022,"SE","FT","Data Analyst",150000,"USD",150000,"US",100,"US","M"
2024,"EN","FT","Business Intelligence Analyst",92000,"USD",92000,"AU",0,"AU","M"
2023,"SE","FT","Data Engineer",128000,"USD",128000,"US",0,"US","M"
2023,"MI","FT","Machine Learning Engineer",50000,"USD",50000,"US",100,"US","M"
2023,"MI","FT","BI Developer",81500,"USD",81500,"US",0,"US","M"
2022,"SE","FT","Data Engineer",216000,"USD",216000,"US",100,"US","M"
2024,"EN","FT","Research Engineer",193500,"USD",193500,"US",0,"US","M"
2023,"MI","FT","Machine Learning Engineer",120000,"USD",120000,"US",0,"US","S"
2023,"EN","PT","Data Analyst",78000,"PLN",18160,"PL",100,"IN","L"
2024,"SE","FT","Data Science",234700,"USD",234700,"US",0,"US","M"
2023,"MI","FT","Research Scientist",118800,"USD",118800,"US",100,"US","M"
2022,"SE","FT","Data Engineer",181940,"USD",181940,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",125000,"USD",125000,"US",0,"US","M"
2023,"EN","FT","Data Engineer",58000,"USD",58000,"US",100,"US","M"
2024,"MI","FT","Data Scientist",140400,"USD",140400,"US",100,"US","M"
2024,"SE","FT","Data Architect",234000,"USD",234000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",180000,"USD",180000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",118900,"USD",118900,"US",0,"US","M"
2023,"SE","FT","Data Scientist",190000,"USD",190000,"US",0,"US","M"
2022,"SE","FT","Data Engineer",153600,"USD",153600,"US",0,"US","M"
2023,"SE","FT","Data Engineer",139400,"USD",139400,"US",0,"US","M"
2023,"SE","FT","Data Scientist",218213,"USD",218213,"US",100,"US","M"
2023,"SE","FT","Data Analyst",80000,"USD",80000,"US",100,"US","M"
2023,"MI","FT","Data Analytics Lead",100000,"GBP",123040,"GB",0,"GB","M"
2022,"SE","FT","Data Engineer",120000,"USD",120000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",260000,"USD",260000,"US",100,"US","M"
